시간대,사고건수,사망자수,중상자수,경상자수,부상신고자수
00시-02시,5968 ,181 ,1795 ,6398 ,557 
02시-04시,2801 ,135 ,906 ,2781 ,312 
04시-06시,3762 ,183 ,1369 ,3402 ,324 
06시-08시,10725 ,252 ,3296 ,10570 ,788 
08시-10시,19654 ,257 ,5216 ,21008 ,1414 
10시-12시,20729 ,286 ,5832 ,22224 ,1608 
12시-14시,23422 ,283 ,6740 ,25553 ,1941 
14시-16시,24640 ,280 ,6813 ,27632 ,2044 
16시-18시,27502 ,248 ,6995 ,30615 ,2330 
18시-20시,29483 ,304 ,7626 ,31476 ,2360 
20시-22시,20164 ,268 ,5453 ,21691 ,1545 
22시-24시,14280 ,239 ,3864 ,15933 ,1197 
,,,,,
