시도,시군구,발생월,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,01,69,3,21,66,6
서울,종로구,02,54,0,21,46,8
서울,종로구,03,66,0,17,65,10
서울,종로구,04,51,0,21,39,6
서울,종로구,05,62,0,12,68,11
서울,종로구,06,70,1,16,69,5
서울,종로구,07,71,0,18,69,7
서울,종로구,08,65,1,31,56,5
서울,종로구,09,54,0,11,54,9
서울,종로구,10,75,0,11,80,6
서울,종로구,11,75,1,18,78,7
서울,종로구,12,66,0,12,69,2
서울,중구,01,74,0,22,61,2
서울,중구,02,68,2,22,69,7
서울,중구,03,67,0,23,61,5
서울,중구,04,73,0,27,74,5
서울,중구,05,78,0,28,85,8
서울,중구,06,67,0,27,60,6
서울,중구,07,69,0,15,71,10
서울,중구,08,55,0,8,56,4
서울,중구,09,64,0,18,58,6
서울,중구,10,78,0,17,81,10
서울,중구,11,84,0,23,73,8
서울,중구,12,77,1,20,77,9
서울,용산구,01,80,1,35,64,6
서울,용산구,02,55,0,15,62,0
서울,용산구,03,97,1,17,116,5
서울,용산구,04,87,0,20,104,2
서울,용산구,05,82,0,18,83,3
서울,용산구,06,95,1,22,94,4
서울,용산구,07,96,0,20,117,5
서울,용산구,08,85,0,21,82,4
서울,용산구,09,90,0,20,95,2
서울,용산구,10,78,0,28,79,3
서울,용산구,11,92,1,26,93,4
서울,용산구,12,77,1,15,82,3
서울,성동구,01,80,0,15,87,3
서울,성동구,02,94,0,17,101,12
서울,성동구,03,67,1,19,56,9
서울,성동구,04,104,0,24,86,5
서울,성동구,05,77,1,18,81,2
서울,성동구,06,89,0,24,100,3
서울,성동구,07,76,0,18,71,3
서울,성동구,08,97,0,33,100,2
서울,성동구,09,94,2,21,84,6
서울,성동구,10,77,0,19,76,9
서울,성동구,11,99,2,30,94,3
서울,성동구,12,103,2,21,104,6
서울,동대문구,01,101,1,28,102,8
서울,동대문구,02,93,0,25,86,2
서울,동대문구,03,105,2,35,90,2
서울,동대문구,04,122,0,30,109,11
서울,동대문구,05,125,3,35,105,13
서울,동대문구,06,116,0,38,79,11
서울,동대문구,07,122,1,27,95,15
